Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
63,Aaron Brooks\brookaa01,PG,33,MIN,29,1,5.5,0.8,1.8,.431,0.2,0.7,.333,0.5,1.0,.500,.500,0.1,0.2,.667,0.2,0.3,0.4,0.6,0.2,0.0,0.3,0.7,1.9
64,Dillon Brooks\brookdi01,SF,22,MEM,59,51,28.2,3.5,7.9,.442,1.0,2.7,.363,2.5,5.2,.484,.504,1.1,1.4,.738,0.5,2.6,3.1,1.4,0.8,0.2,1.3,3.2,9.0
65,Bobby Brown\brownbo02,PG,33,HOU,20,0,5.8,1.0,2.9,.328,0.6,2.0,.275,0.4,0.9,.444,.422,0.1,0.1,.500,0.0,0.4,0.4,0.6,0.2,0.0,0.5,0.3,2.5
66,Jaylen Brown\brownja02,SF,21,BOS,57,57,31.3,5.2,11.5,.456,1.7,4.6,.374,3.5,6.9,.510,.531,1.9,3.2,.602,1.0,4.3,5.3,1.6,1.0,0.4,1.7,2.8,14.1
67,Lorenzo Brown\brownlo01,PG,27,TOR,12,0,7.9,0.6,1.8,.333,0.0,0.6,.000,0.6,1.2,.500,.333,0.0,0.0,,0.0,0.8,0.8,1.0,0.3,0.0,0.1,0.4,1.2
68,Markel Brown\brownma02,SG,26,HOU,4,0,7.8,0.5,1.8,.286,0.3,1.3,.200,0.3,0.5,.500,.357,0.0,0.0,,0.3,1.0,1.3,0.5,0.0,0.0,0.5,1.5,1.3
69,Sterling Brown\brownst02,SG,22,MIL,34,2,15.0,1.6,3.9,.406,0.7,1.7,.397,0.9,2.2,.413,.492,0.4,0.4,.857,0.5,2.4,2.9,0.4,0.8,0.3,0.5,1.4,4.2
70,Nicolas Brussino\brussni01,SF,24,ATL,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
71,Thomas Bryant\bryanth01,C,20,LAL,8,0,3.6,0.4,1.1,.333,0.1,0.6,.200,0.3,0.5,.500,.389,0.5,0.8,.667,0.1,0.6,0.8,0.3,0.0,0.0,0.0,0.0,1.4
72,Reggie Bullock\bullore01,SF,26,DET,45,35,26.4,3.8,7.6,.497,1.8,4.1,.438,2.0,3.5,.567,.615,0.6,0.8,.735,0.4,1.9,2.3,1.3,0.8,0.2,0.7,1.1,9.9
73,Trey Burke\burketr01,PG,25,NYK,16,0,15.6,4.4,8.1,.538,0.8,2.0,.375,3.6,6.1,.592,.585,0.9,1.3,.700,0.3,1.1,1.3,3.5,0.4,0.1,0.7,0.8,10.4
74,Alec Burks\burksal01,SG,26,UTA,55,1,17.7,2.9,7.1,.411,0.8,2.3,.326,2.1,4.7,.454,.465,1.9,2.1,.864,0.3,2.9,3.2,1.1,0.6,0.1,0.9,1.3,8.4
75,Jimmy Butler\butleji01,SG,28,MIN,56,56,37.1,7.4,15.8,.473,1.2,3.5,.356,6.2,12.3,.506,.512,6.1,7.0,.865,1.3,4.1,5.4,5.0,1.9,0.4,1.8,1.3,22.2
76,Dwight Buycks\buyckdw01,PG,28,DET,19,0,14.3,3.0,6.6,.452,0.6,1.5,.393,2.4,5.2,.469,.496,1.2,1.3,.880,0.5,1.2,1.6,2.2,0.5,0.1,1.3,1.4,7.7
77,Bruno Caboclo\cabocbr01,SF,22,TOT,3,0,8.7,0.7,3.0,.222,0.0,1.7,.000,0.7,1.3,.500,.222,0.0,0.0,,0.7,0.7,1.3,0.7,0.7,0.0,0.3,1.3,1.3
77,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,3.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0
77,Bruno Caboclo\cabocbr01,F,22,SAC,1,0,19.0,2.0,7.0,.286,0.0,3.0,.000,2.0,4.0,.500,.286,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0
78,Jose Calderon\caldejo01,PG,36,CLE,41,25,15.0,1.3,2.7,.500,0.7,1.5,.450,0.7,1.2,.560,.623,0.3,0.4,.778,0.2,1.1,1.3,1.9,0.5,0.0,0.6,1.4,3.7
79,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,52,52,32.7,4.7,11.0,.424,2.1,5.6,.376,2.6,5.4,.473,.519,2.0,2.6,.752,0.8,4.3,5.2,2.2,1.6,0.2,1.3,1.9,13.4
80,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,1,21.1,2.6,6.9,.380,1.1,3.3,.333,1.5,3.6,.423,.460,2.3,2.6,.902,0.3,2.0,2.3,3.8,0.8,0.1,1.5,1.8,8.6
80,Isaiah Canaan\canaais01,SG,26,HOU,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Isaiah Canaan\canaais01,PG,26,PHO,19,1,22.0,2.7,7.2,.382,1.2,3.5,.333,1.6,3.7,.429,.463,2.4,2.7,.902,0.3,2.0,2.3,4.0,0.8,0.1,1.5,1.9,9.1
81,Clint Capela\capelca01,C,23,HOU,54,54,27.3,6.1,9.4,.657,0.0,0.0,.000,6.1,9.3,.659,.657,2.2,3.7,.590,3.2,7.8,11.0,1.0,0.7,1.8,1.5,2.6,14.5
82,DeMarre Carroll\carrode01,SF,31,BRK,56,56,29.8,4.4,10.9,.403,1.9,5.3,.357,2.5,5.6,.446,.489,2.6,3.3,.778,1.6,4.9,6.6,2.0,0.8,0.4,1.5,2.2,13.2
83,Vince Carter\cartevi01,SF,41,SAC,40,4,17.2,1.9,4.8,.400,1.0,2.7,.358,0.9,2.0,.457,.503,0.4,0.6,.708,0.2,2.0,2.2,1.3,0.9,0.5,0.6,1.7,5.2
84,Michael Carter-Williams\cartemi01,PG,26,CHO,48,2,16.0,1.4,4.2,.342,0.3,1.1,.264,1.1,3.1,.369,.376,1.3,1.6,.829,0.7,1.9,2.6,2.3,0.8,0.4,1.0,2.0,4.5
85,Alex Caruso\carusal01,PG,23,LAL,24,0,12.9,1.0,2.5,.417,0.2,0.8,.250,0.8,1.7,.500,.458,0.3,0.5,.583,0.3,1.0,1.3,1.9,0.5,0.3,0.9,1.3,2.6
86,Omri Casspi\casspom01,SF,29,GSW,47,7,14.5,2.3,4.1,.565,0.2,0.4,.476,2.1,3.6,.576,.592,1.0,1.3,.770,0.6,3.4,4.0,1.0,0.4,0.4,0.7,1.4,5.8
87,Willie Cauley-Stein\caulewi01,C,24,SAC,55,42,27.5,5.2,10.5,.494,0.0,0.2,.182,5.1,10.3,.500,.496,2.1,3.4,.606,1.8,5.0,6.8,2.1,1.1,0.9,1.5,2.4,12.5
88,Tyler Cavanaugh\cavanty01,PF,23,ATL,30,1,13.8,1.8,3.9,.474,0.9,2.4,.366,1.0,1.5,.644,.586,0.4,0.6,.765,1.1,2.2,3.3,0.8,0.3,0.1,0.4,1.7,5.0
89,Mario Chalmers\chalmma01,PG,31,MEM,53,7,22.3,2.6,6.9,.370,0.8,2.8,.265,1.8,4.1,.442,.424,1.8,2.1,.838,0.2,2.3,2.5,3.1,1.2,0.2,1.8,2.8,7.6
90,Tyson Chandler\chandty01,C,35,PHO,42,42,25.4,2.6,4.1,.624,0.0,0.0,,2.6,4.1,.624,.624,1.3,2.1,.618,3.1,6.5,9.5,1.1,0.3,0.6,1.3,2.4,6.5
91,Wilson Chandler\chandwi01,SF,30,DEN,54,51,30.7,3.6,8.4,.430,1.1,3.2,.333,2.5,5.2,.489,.493,1.3,1.5,.819,1.4,3.8,5.2,2.1,0.5,0.6,1.3,2.0,9.5
92,Marquese Chriss\chrisma01,PF,20,PHO,54,41,20.7,2.4,6.1,.399,0.8,2.6,.296,1.6,3.4,.478,.463,1.1,1.9,.577,0.9,4.2,5.1,1.2,0.7,1.0,1.4,3.0,6.7
93,Ian Clark\clarkia01,SG,26,NOP,54,1,17.8,2.4,5.6,.429,0.8,2.6,.309,1.6,3.0,.530,.500,0.5,0.7,.692,0.1,1.5,1.6,1.2,0.4,0.1,0.7,1.5,6.1
94,Jordan Clarkson\clarkjo01,SG,25,TOT,58,2,23.5,5.7,12.4,.454,1.3,4.0,.330,4.3,8.4,.513,.508,1.9,2.4,.790,0.8,2.2,3.0,3.1,0.7,0.1,1.8,1.2,14.5
94,Jordan Clarkson\clarkjo01,SG,25,LAL,53,2,23.7,5.6,12.6,.448,1.3,4.0,.324,4.4,8.6,.505,.499,2.0,2.5,.795,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5
94,Jordan Clarkson\clarkjo01,SG,25,CLE,5,0,21.4,5.8,11.0,.527,1.8,4.6,.391,4.0,6.4,.625,.609,0.8,1.2,.667,0.2,2.6,2.8,1.8,0.4,0.2,1.8,1.2,14.2
95,Gian Clavell\clavegi01,SG,24,DAL,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000,.500,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9
96,Antonius Cleveland\clevean01,SG,23,DAL,13,0,6.2,0.3,1.1,.286,0.0,0.1,.000,0.3,1.0,.308,.286,0.2,0.3,.500,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8
97,John Collins\collijo01,PF,20,ATL,55,7,22.5,4.1,7.1,.577,0.1,0.3,.316,4.0,6.7,.590,.585,1.8,2.5,.733,2.7,4.4,7.1,1.0,0.6,1.2,1.3,3.0,10.1
98,Zach Collins\colliza01,C,20,POR,44,1,15.1,1.6,4.1,.389,0.5,1.5,.313,1.1,2.6,.431,.444,0.4,0.6,.571,0.7,2.6,3.3,0.8,0.3,0.5,0.8,2.1,4.0
99,Kyle Collinsworth\colliky01,SF,26,DAL,17,0,11.9,1.1,2.2,.486,0.1,0.4,.333,0.9,1.8,.516,.514,0.4,1.0,.353,0.5,1.8,2.4,1.1,0.5,0.1,0.6,1.2,2.6
100,Darren Collison\collida01,PG,30,IND,52,52,30.3,4.7,9.5,.495,1.3,3.1,.432,3.4,6.4,.526,.566,2.0,2.2,.897,0.6,2.1,2.7,5.3,1.4,0.3,1.3,1.9,12.8
101,Nick Collison\collini01,PF,37,OKC,10,0,5.8,0.8,1.1,.727,0.0,0.0,,0.8,1.1,.727,.727,0.3,0.6,.500,0.5,1.1,1.6,0.4,0.0,0.0,0.5,0.5,1.9
102,Mike Conley\conlemi01,PG,30,MEM,12,12,31.1,5.3,14.0,.381,2.0,6.4,.312,3.3,7.6,.440,.452,4.4,5.5,.803,0.0,2.3,2.3,4.1,1.0,0.3,1.5,2.0,17.1
103,Pat Connaughton\connapa01,SG,25,POR,60,5,19.1,2.3,5.1,.445,1.0,2.7,.368,1.3,2.4,.531,.542,0.6,0.7,.854,0.4,1.6,2.0,1.2,0.2,0.3,0.5,1.5,6.2
104,Quinn Cook\cookqu01,PG,24,GSW,13,2,9.5,1.2,2.8,.432,0.6,1.4,.444,0.6,1.5,.421,.541,0.1,0.1,1.000,0.2,0.8,1.1,1.3,0.0,0.0,0.3,0.8,3.2
105,Charles Cooke\cookech01,SG,23,NOP,9,0,2.7,0.2,1.1,.200,0.1,0.7,.167,0.1,0.4,.250,.250,0.1,0.2,.500,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.7
106,Jack Cooley\cooleja01,PF,26,SAC,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
107,Matt Costello\costema01,C,24,SAS,3,0,6.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.3,2.0,2.3,0.0,0.0,0.7,0.3,1.7,0.7
108,DeMarcus Cousins\couside01,C,27,NOP,48,48,36.2,8.5,18.0,.470,2.2,6.1,.354,6.3,11.9,.530,.530,6.1,8.2,.746,2.2,10.7,12.9,5.4,1.6,1.6,5.0,3.8,25.2
109,Robert Covington\covinro01,PF,27,PHI,56,56,32.2,4.3,10.6,.404,2.6,7.0,.367,1.7,3.6,.475,.524,1.6,1.8,.853,0.8,4.7,5.5,1.9,1.5,0.7,1.8,3.0,12.6
110,Allen Crabbe\crabbal01,SG,25,BRK,57,50,29.4,4.3,10.9,.396,2.5,6.9,.366,1.8,4.0,.449,.513,1.4,1.7,.845,0.4,4.0,4.4,1.6,0.6,0.4,1.1,2.2,12.6
111,Torrey Craig\craigto01,SF,27,DEN,26,4,16.1,1.6,3.5,.451,0.4,1.5,.263,1.2,2.0,.585,.505,0.7,1.1,.655,1.0,2.0,3.0,0.7,0.3,0.2,0.4,1.6,4.3
112,Jamal Crawford\crawfja01,SG,37,MIN,62,0,19.3,3.8,9.0,.420,1.4,3.9,.351,2.4,5.1,.472,.495,1.3,1.5,.891,0.2,1.0,1.1,2.3,0.5,0.1,1.1,1.1,10.2
113,Jordan Crawford\crawfjo02,SG,29,NOP,2,0,18.5,3.5,7.0,.500,2.0,2.5,.800,1.5,4.5,.333,.643,0.0,0.0,,1.0,0.5,1.5,4.5,0.0,0.5,2.0,3.0,9.0
114,Jae Crowder\crowdja01,SF,27,TOT,59,47,25.7,3.1,7.6,.411,1.2,3.7,.321,1.9,3.8,.498,.490,1.6,1.9,.830,0.7,2.6,3.4,1.2,0.8,0.2,0.9,2.3,9.0
114,Jae Crowder\crowdja01,SF,27,CLE,53,47,25.4,3.0,7.1,.418,1.2,3.6,.328,1.8,3.5,.508,.500,1.5,1.7,.848,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,8.6
114,Jae Crowder\crowdja01,SF,27,UTA,6,0,28.7,4.5,12.0,.375,1.5,5.3,.281,3.0,6.7,.450,.438,2.5,3.3,.750,0.5,3.8,4.3,2.0,0.7,0.3,1.8,2.3,13.0
115,Dante Cunningham\cunnida01,SF,30,TOT,56,24,21.9,2.1,4.6,.446,0.7,2.1,.333,1.3,2.5,.543,.523,0.4,0.7,.537,1.0,3.0,4.0,0.6,0.6,0.4,0.4,1.5,5.2
115,Dante Cunningham\cunnida01,SF,30,NOP,51,24,21.9,1.9,4.4,.440,0.7,2.1,.324,1.3,2.3,.547,.518,0.4,0.7,.556,1.0,2.8,3.8,0.5,0.5,0.3,0.3,1.5,5.0
115,Dante Cunningham\cunnida01,SF,30,BRK,5,0,22.0,3.2,6.6,.485,1.0,2.4,.417,2.2,4.2,.524,.561,0.4,1.0,.400,1.6,5.0,6.6,1.8,1.0,0.8,1.2,2.0,7.8
116,Stephen Curry\curryst01,PG,29,GSW,46,46,32.8,8.5,17.3,.494,4.2,10.1,.421,4.3,7.2,.596,.617,5.4,5.8,.918,0.7,4.5,5.3,6.5,1.6,0.1,3.1,2.3,26.7
117,Troy Daniels\danietr01,SG,26,PHO,62,4,19.4,2.8,6.8,.406,2.2,5.5,.402,0.5,1.3,.425,.569,0.7,0.8,.918,0.1,1.2,1.3,0.5,0.2,0.1,0.6,1.8,8.5
118,Anthony Davis\davisan02,PF,24,NOP,54,54,36.7,10.3,19.2,.538,0.8,2.2,.345,9.6,17.0,.563,.557,6.8,8.3,.821,2.6,8.4,11.0,2.4,1.4,2.2,2.1,2.1,28.2
119,Deyonta Davis\davisde01,C,21,MEM,42,2,13.2,2.5,3.8,.648,0.0,0.0,,2.5,3.8,.648,.648,0.6,0.9,.703,1.1,2.5,3.6,0.5,0.2,0.7,0.5,1.8,5.5
120,Ed Davis\davised01,C,28,POR,60,0,18.8,2.2,3.9,.580,0.0,0.0,,2.2,3.9,.580,.580,1.0,1.6,.667,2.4,4.8,7.2,0.5,0.5,0.7,0.9,2.5,5.5
121,Dewayne Dedmon\dedmode01,C,28,ATL,42,26,23.3,4.0,7.3,.552,0.8,2.0,.381,3.3,5.3,.617,.605,1.0,1.3,.782,1.7,5.7,7.4,1.4,0.5,0.6,1.3,2.8,9.8
122,Sam Dekker\dekkesa01,PF,23,LAC,53,1,13.4,1.8,3.9,.463,0.2,1.1,.158,1.6,2.8,.581,.485,0.5,0.8,.674,0.6,1.9,2.5,0.6,0.4,0.2,0.5,1.0,4.3
123,Malcolm Delaney\delanma01,PG,28,ATL,51,3,19.1,2.0,5.3,.382,0.8,2.3,.359,1.2,3.0,.400,.460,1.3,1.6,.795,0.2,1.7,1.9,3.0,0.6,0.1,1.3,1.5,6.2
124,Matthew Dellavedova\dellama01,PG,27,MIL,37,3,19.0,1.5,4.0,.369,0.8,2.1,.377,0.7,1.9,.361,.466,0.6,0.7,.920,0.4,1.4,1.7,3.8,0.4,0.0,1.3,1.8,4.4
125,Luol Deng\denglu01,SF,32,LAL,1,1,13.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
126,DeMar DeRozan\derozde01,SG,28,TOR,59,59,34.0,8.4,18.1,.462,1.2,3.5,.329,7.2,14.6,.494,.494,5.9,7.2,.829,0.8,3.2,3.9,5.2,1.2,0.3,2.3,1.8,23.8
127,Cheick Diallo\diallch01,PF,21,NOP,32,0,8.7,1.5,2.8,.533,0.0,0.0,,1.5,2.8,.533,.533,0.7,0.9,.767,0.6,2.3,2.9,0.3,0.1,0.3,0.3,1.1,3.7
128,Gorgui Dieng\dienggo01,C,28,MIN,61,0,17.6,2.5,5.1,.487,0.2,0.8,.277,2.3,4.3,.525,.508,1.1,1.4,.773,1.3,3.3,4.6,1.0,0.7,0.5,0.8,1.9,6.3
129,Spencer Dinwiddie\dinwisp01,PG,24,BRK,60,50,29.1,4.3,11.2,.387,1.9,5.7,.334,2.4,5.4,.443,.473,2.9,3.5,.822,0.5,2.9,3.4,6.8,0.8,0.3,1.6,2.4,13.4
130,Tyler Dorsey\dorsety01,SG,21,ATL,35,1,13.3,1.7,4.8,.357,0.9,2.7,.344,0.8,2.1,.373,.452,0.6,0.9,.688,0.3,1.6,1.8,1.1,0.3,0.1,0.4,0.6,5.0
131,Damyean Dotson\dotsoda01,SG,23,NYK,29,2,8.5,1.1,2.7,.416,0.3,1.1,.273,0.8,1.5,.523,.474,0.2,0.3,.778,0.2,1.2,1.4,0.6,0.2,0.0,0.3,0.6,2.8
132,Milton Doyle\doylemi01,SG,24,BRK,6,0,10.5,1.2,4.2,.280,0.3,2.2,.154,0.8,2.0,.417,.320,0.3,0.5,.667,0.3,1.2,1.5,0.7,0.3,0.2,0.3,0.5,3.0
133,PJ Dozier\doziepj01,PG,21,OKC,2,0,1.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
134,Goran Dragic\dragigo01,PG,31,MIA,55,55,31.8,6.5,14.7,.441,1.5,4.2,.362,5.0,10.5,.472,.493,2.9,3.8,.767,0.7,3.4,4.1,4.9,0.8,0.2,2.2,2.4,17.4
135,Larry Drew\drewla02,PG,27,PHI,3,0,5.0,0.3,2.3,.143,0.0,1.0,.000,0.3,1.3,.250,.143,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.3,0.7,0.7
136,Andre Drummond\drumman01,C,24,DET,58,58,33.4,6.0,11.3,.535,0.0,0.1,.000,6.0,11.2,.540,.535,3.1,4.9,.627,5.1,10.7,15.7,3.5,1.6,1.6,2.7,3.2,15.1
137,Jared Dudley\dudleja01,PF,32,PHO,34,0,13.6,0.9,2.3,.367,0.5,1.6,.340,0.3,0.8,.423,.481,0.5,0.6,.900,0.2,1.4,1.6,1.7,0.5,0.1,0.5,1.6,2.8
138,Kris Dunn\dunnkr01,PG,23,CHI,44,35,29.4,5.7,13.2,.429,0.8,2.5,.318,4.9,10.7,.454,.459,1.4,1.9,.706,0.5,4.0,4.5,6.1,2.0,0.5,2.9,3.3,13.5
139,Kevin Durant\duranke01,PF,29,GSW,53,53,34.4,9.1,17.5,.522,2.6,6.0,.429,6.6,11.5,.570,.595,5.1,5.7,.888,0.5,6.3,6.8,5.5,0.8,1.9,3.0,2.0,25.9
140,Jarell Eddie\eddieja01,SF,26,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0
141,Henry Ellenson\ellenhe01,PF,21,DET,24,0,6.6,1.1,3.1,.351,0.4,1.2,.310,0.7,1.9,.378,.412,0.1,0.3,.500,0.3,1.6,1.8,0.4,0.1,0.0,0.4,0.5,2.7
142,Wayne Ellington\ellinwa01,SG,30,MIA,59,2,26.6,3.7,9.1,.404,2.9,7.6,.388,0.7,1.5,.489,.566,0.9,1.0,.850,0.3,2.7,3.0,1.1,0.6,0.1,0.7,1.1,11.2
143,Joel Embiid\embiijo01,C,23,PHI,47,47,31.4,8.4,17.1,.491,1.0,3.4,.310,7.4,13.8,.535,.522,6.0,7.7,.780,2.2,9.0,11.2,3.1,0.7,1.8,3.9,3.3,23.9
144,James Ennis\ennisja01,SF,27,TOT,51,14,23.0,2.5,5.1,.485,0.7,1.9,.357,1.8,3.2,.562,.552,1.5,1.8,.857,1.2,2.3,3.5,1.0,0.7,0.3,0.8,1.8,7.2
144,James Ennis\ennisja01,SF,27,MEM,45,14,23.4,2.4,4.9,.486,0.7,1.9,.357,1.7,3.1,.565,.554,1.4,1.6,.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
144,James Ennis\ennisja01,SF,27,DET,6,0,19.7,3.0,6.3,.474,0.8,2.3,.357,2.2,4.0,.542,.539,2.3,3.0,.778,1.2,2.0,3.2,0.7,0.7,0.3,0.8,1.8,9.2
145,Tyler Ennis\ennisty01,PG,23,LAL,36,11,10.6,1.3,3.5,.368,0.2,0.9,.182,1.1,2.6,.435,.392,0.4,0.5,.722,0.3,1.2,1.4,1.6,0.4,0.1,0.5,1.4,3.1
146,Jawun Evans\evansja01,PG,21,LAC,38,4,18.4,2.2,6.3,.343,0.3,1.3,.265,1.8,5.0,.363,.370,1.0,1.2,.787,0.2,1.8,2.0,2.4,0.9,0.2,1.1,2.2,5.6
147,Tyreke Evans\evansty01,PG,28,MEM,49,29,31.0,7.0,15.5,.453,2.2,5.5,.396,4.9,10.1,.485,.523,3.1,3.9,.797,0.9,4.2,5.1,5.1,1.1,0.3,2.1,1.8,19.4
148,Kenneth Faried\farieke01,PF,28,DEN,32,7,14.4,2.4,4.6,.514,0.0,0.0,.000,2.4,4.6,.517,.514,1.1,1.6,.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9
149,Derrick Favors\favorde01,C,26,UTA,58,58,28.2,5.1,9.2,.550,0.1,0.6,.200,4.9,8.6,.574,.556,2.0,2.9,.689,2.5,4.8,7.4,1.3,0.8,0.9,1.2,2.2,12.2
150,Kay Felder\feldeka01,PG,22,TOT,15,0,9.1,1.3,4.5,.294,0.3,1.3,.211,1.1,3.3,.327,.324,0.7,0.8,.917,0.1,0.9,1.0,1.3,0.2,0.1,1.1,0.7,3.7
150,Kay Felder\feldeka01,PG,22,CHI,14,0,9.6,1.4,4.7,.303,0.3,1.3,.222,1.1,3.4,.333,.333,0.8,0.9,.917,0.1,0.9,1.0,1.4,0.2,0.1,1.1,0.8,3.9
150,Kay Felder\feldeka01,PG,22,DET,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
151,Cristiano Felicio\feliccr01,C,25,CHI,34,3,13.8,1.7,2.8,.594,0.0,0.0,,1.7,2.8,.594,.594,0.7,1.1,.615,1.0,1.7,2.7,0.7,0.1,0.3,0.7,1.8,4.1
152,Raymond Felton\feltora01,PG,33,OKC,62,2,17.1,2.8,6.8,.413,1.0,2.7,.359,1.8,4.1,.449,.485,0.5,0.7,.805,0.4,1.7,2.1,2.7,0.6,0.1,1.0,1.0,7.1
153,Terrance Ferguson\fergute01,SG,19,OKC,46,12,12.3,1.1,2.8,.400,0.6,1.9,.303,0.5,0.9,.610,.504,0.1,0.1,.833,0.4,0.4,0.8,0.3,0.4,0.2,0.2,1.5,3.0
154,Yogi Ferrell\ferreyo01,SG,24,DAL,61,17,29.1,3.7,8.7,.430,1.7,4.3,.390,2.0,4.4,.470,.527,1.1,1.4,.812,0.4,2.9,3.3,2.2,0.8,0.1,1.0,2.1,10.3
155,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,1,11.8,1.3,2.8,.455,0.6,1.8,.357,0.6,1.0,.625,.568,0.1,0.3,.500,0.6,0.6,1.3,0.6,0.0,0.1,0.9,1.6,3.3
156,Bryn Forbes\forbebr01,SG,24,SAS,61,12,20.4,2.9,6.9,.417,1.2,3.3,.378,1.6,3.6,.452,.507,0.6,0.9,.607,0.2,1.3,1.5,1.0,0.4,0.0,0.5,1.5,7.5
157,Evan Fournier\fournev01,SF,25,ORL,52,52,32.5,6.5,14.1,.463,2.3,5.8,.387,4.3,8.3,.515,.542,2.7,3.1,.881,0.4,2.8,3.2,2.9,0.9,0.3,1.8,2.4,18.0
158,De'Aaron Fox\foxde01,PG,20,SAC,52,39,27.3,4.3,10.5,.411,0.7,2.0,.343,3.7,8.6,.427,.443,2.0,2.7,.732,0.5,2.1,2.6,4.3,1.0,0.2,2.4,2.3,11.3
159,Tim Frazier\fraziti01,PG,27,WAS,46,11,15.0,1.3,3.1,.423,0.3,1.0,.326,1.0,2.1,.469,.475,0.3,0.5,.727,0.3,1.7,2.0,3.5,0.8,0.1,1.1,1.8,3.3
160,Channing Frye\fryech01,C,34,TOT,45,1,12.4,1.9,3.8,.500,0.7,2.0,.341,1.2,1.8,.684,.591,0.3,0.3,.933,0.2,2.2,2.5,0.6,0.4,0.3,0.4,1.2,4.8
160,Channing Frye\fryech01,C,34,CLE,44,1,12.4,1.9,3.8,.497,0.7,2.0,.333,1.2,1.8,.684,.586,0.3,0.3,.933,0.2,2.3,2.5,0.6,0.4,0.3,0.4,1.2,4.8
160,Channing Frye\fryech01,C,34,LAL,1,0,11.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
161,Markelle Fultz\fultzma01,SG,19,PHI,4,0,19.0,2.3,6.8,.333,0.0,0.0,,2.3,6.8,.333,.333,1.5,3.0,.500,0.8,1.5,2.3,1.8,0.5,0.3,1.5,1.5,6.0
162,Danilo Gallinari\gallida01,SF,29,LAC,19,19,32.4,5.2,12.7,.407,1.8,5.6,.321,3.4,7.1,.474,.477,3.8,4.1,.948,0.4,4.5,4.9,2.1,0.6,0.3,1.2,1.4,15.9
163,Langston Galloway\gallola01,SG,26,DET,48,2,14.7,2.1,5.7,.377,1.3,3.8,.348,0.8,1.9,.435,.493,0.6,0.7,.794,0.2,1.3,1.6,1.1,0.5,0.1,0.3,0.8,6.2
164,Marc Gasol\gasolma01,C,33,MEM,57,57,33.9,6.1,14.6,.415,1.4,4.2,.326,4.7,10.4,.452,.463,4.1,4.9,.843,1.2,7.2,8.4,4.0,0.7,1.5,2.8,2.5,17.7
165,Pau Gasol\gasolpa01,C,37,SAS,58,55,24.9,3.9,8.5,.464,0.7,1.7,.398,3.3,6.8,.480,.503,2.1,2.8,.770,1.6,6.8,8.4,3.3,0.3,1.0,1.5,1.5,10.7
166,Rudy Gay\gayru01,PF,31,SAS,36,5,22.4,4.2,8.9,.470,0.6,1.9,.329,3.6,7.0,.510,.506,2.1,2.6,.779,1.3,3.8,5.1,1.5,0.8,0.6,1.5,1.9,11.1
